,0
0,4
1,6
2,0
3,1
4,3
5,8
6,1
7,4
8,0
9,8
10,6
11,6
12,1
13,6
14,2
15,3
16,9
17,1
18,5
19,6
20,6
21,1
22,4
23,0
24,3
25,6
26,0
27,5
28,6
29,8
30,9
31,4
32,7
33,7
34,7
35,8
36,8
37,7
38,5
39,2
40,7
41,8
42,1
43,1
44,9
45,5
46,4
47,1
48,0
49,1
50,3
51,2
52,3
53,6
54,3
55,3
56,8
57,2
58,7
59,1
60,7
61,7
62,0
63,0
64,3
65,0
66,0
67,2
68,0
69,0
70,7
71,1
72,7
73,8
74,6
75,5
76,7
77,1
78,6
79,6
80,9
81,4
82,9
83,1
84,3
85,4
86,0
87,4
88,9
89,2
90,8
91,6
92,2
93,7
94,4
95,7
96,5
97,0
98,3
99,7
100,5
101,6
102,6
103,9
104,0
105,3
106,5
107,2
108,8
109,9
110,8
111,2
112,2
113,9
114,7
115,1
116,7
117,7
118,2
119,7
120,3
121,2
122,2
123,8
124,4
125,0
126,2
127,2
128,8
129,1
130,1
131,2
132,2
133,2
134,3
135,0
136,1
137,6
138,3
139,9
140,4
141,3
142,9
143,7
144,9
145,0
146,7
147,3
148,5
149,2
150,3
151,0
152,1
153,9
154,9
155,7
156,9
157,2
158,7
159,4
160,7
161,0
162,6
163,5
164,1
165,9
166,5
167,2
168,7
169,2
170,2
171,5
172,6
173,8
174,5
175,8
176,2
177,3
178,3
179,1
180,4
181,7
182,3
183,8
184,4
185,5
186,7
187,4
188,1
189,9
190,0
191,4
192,8
193,0
194,6
195,5
196,6
197,5
198,2
199,0
200,3
201,3
202,1
203,6
204,1
205,4
206,1
207,1
208,1
209,1
210,3
211,9
212,1
213,0
214,4
215,2
216,9
217,5
218,5
219,9
220,5
221,5
222,2
223,5
224,0
225,8
226,0
227,4
228,2
229,4
230,3
231,8
232,7
233,9
234,4
235,0
236,1
237,4
238,9
239,4
240,4
241,3
242,2
243,0
244,8
245,4
246,1
247,0
248,9
249,3
250,2
251,4
252,6
253,9
254,0
255,6
256,1
257,1
